location,axlegroup,startdate,enddate,mean,median,0-1 tonn,1-2 tonn,2-3 tonn,3-4 tonn,4-5 tonn,5-6 tonn,6-7 tonn,7-8 tonn,8-9 tonn,9-10 tonn,10-11 tonn,11-12 tonn,12-13 tonn,13-14 tonn,14-15 tonn,15-16 tonn,16-17 tonn,17-18 tonn,18-19 tonn,19-20 tonn,20-21 tonn,21-22 tonn,22-23 tonn,23-24 tonn,24-25 tonn,25-26 tonn,26-27 tonn,27-28 tonn,28-29 tonn,29-30 tonn
Verdal,Boggiaksler,2015-05-12,2015-05-31,11.001975473530843,11.115,43,420,156,95,312,220,460,640,519,500,665,716,622,560,418,300,413,549,386,161,42,29,8,2,0,0,0,0,0,0
Verdal,Trippelaksler,2015-05-12,2015-05-31,20.11581395348837,21.49,0,0,0,0,0,0,0,1,3,3,6,10,5,6,14,10,12,10,13,15,25,42,50,40,17,5,6,4,2,2
Verdal,Enkeltaksler,2015-05-31,2015-06-30,5.137796791443852,5.47,418,6603,3846,3582,4670,6527,7404,6506,2738,993,418,170,59,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verdal,Boggiaksler,2015-05-31,2015-06-30,10.872103487064116,10.99,86,791,356,248,533,382,692,1205,1071,959,1234,1256,1165,1007,740,629,780,894,749,236,68,17,11,4,0,0,0,0,0,0
Verdal,Trippelaksler,2015-05-31,2015-06-30,19.630018903591683,21.1,0,0,0,0,1,0,1,1,4,20,14,9,11,20,12,24,14,18,35,29,43,62,88,64,34,13,10,1,1,0
Verdal,Enkeltaksler,2015-06-30,2015-07-31,4.7528277634961436,5.04,647,8287,3637,2873,3818,5353,5641,5274,2138,702,352,123,44,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verdal,Boggiaksler,2015-06-30,2015-07-31,10.617596238849153,11.1,76,998,461,176,408,289,452,697,746,775,1022,1136,1162,833,642,461,615,703,522,181,49,20,15,4,0,0,0,0,0,0
Verdal,Trippelaksler,2015-06-30,2015-07-31,19.86881188118812,21.240000000000002,0,0,0,0,0,0,0,0,5,17,9,12,10,17,5,14,13,30,20,35,48,66,89,67,33,12,3,0,0,0
Verdal,Enkeltaksler,2015-07-31,2015-08-31,5.1067056355682885,5.44,445,5903,3300,3299,4140,5840,6495,6008,2324,829,355,109,29,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verdal,Boggiaksler,2015-07-31,2015-08-31,10.92986113152094,11.2,52,830,336,159,557,323,564,929,824,889,1110,1143,1247,902,642,602,699,859,614,181,89,37,16,6,0,0,0,0,0,0
Verdal,Trippelaksler,2015-07-31,2015-08-31,19.639980544747083,21.075,0,0,1,1,0,1,0,0,7,18,4,8,16,19,10,16,26,21,30,25,49,70,81,64,31,8,2,3,0,1
Verdal,Enkeltaksler,2015-08-31,2015-09-30,5.335569435964872,5.62,307,4772,3566,3919,4801,6472,7317,6816,3067,908,428,145,53,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Verdal,Boggiaksler,2015-08-31,2015-09-30,11.059825955602259,11.19,97,697,331,199,557,411,633,1180,983,990,1256,1319,1288,996,711,656,815,991,750,243,82,29,9,1,0,2,0,0,0,0
Verdal,Trippelaksler,2015-08-31,2015-09-30,20.69026277372263,21.93,0,1,2,0,0,0,2,0,4,17,4,7,18,18,20,9,14,15,38,35,64,79,121,121,51,16,9,7,5,2
Verdal,Enkeltaksler,2015-10-31,2015-11-30,5.481998774100078,5.77,179,3466,2607,2987,4269,5876,6704,6038,2372,829,382,139,34,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verdal,Boggiaksler,2015-10-31,2015-11-30,11.471518777752689,11.58,64,406,185,132,429,319,596,957,893,894,1101,1212,1154,983,715,619,724,891,633,205,108,37,19,5,4,1,1,0,0,0
Verdal,Trippelaksler,2015-10-31,2015-11-30,20.32187221396731,21.61,0,0,0,0,1,0,0,1,3,16,7,11,17,27,7,20,24,23,34,36,61,90,95,114,54,16,9,2,3,1
Verdal,Enkeltaksler,2015-11-30,2015-12-31,5.514024101279535,5.76,140,2579,2219,2454,3606,5103,5224,5092,2004,673,308,95,32,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Verdal,Boggiaksler,2015-11-30,2015-12-31,11.5057350069735,11.59,45,266,142,134,408,240,638,768,605,695,896,939,951,742,546,481,564,856,566,143,73,29,22,4,1,0,0,0,0,1
Verdal,Trippelaksler,2015-11-30,2015-12-31,21.143007194244603,22.159999999999997,0,0,0,1,0,0,2,0,0,16,2,9,11,33,11,15,9,21,24,32,53,87,135,102,51,29,21,9,11,6
Verdal,Enkeltaksler,2015-12-31,2016-01-31,5.598900847263567,5.82,140,2610,2111,2640,3698,5024,5176,5470,2379,773,354,133,37,13,4,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0
Verdal,Boggiaksler,2015-12-31,2016-01-31,11.785632479390125,11.870000000000001,42,246,114,131,369,281,571,730,583,716,928,1063,986,837,626,534,695,898,656,199,50,14,7,5,0,0,0,0,0,0
Verdal,Trippelaksler,2015-12-31,2016-01-31,21.067644683714672,22.459999999999997,2,0,2,0,2,1,1,2,3,18,8,12,8,14,9,19,18,17,27,40,41,73,124,158,70,36,15,11,4,4
Verdal,Enkeltaksler,2016-01-31,2016-02-29,5.55039036256226,5.84,226,3403,2481,2759,3684,5601,5975,6319,2589,854,430,151,34,16,4,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
Verdal,Boggiaksler,2016-01-31,2016-02-29,11.850899770466718,12.01,54,324,159,106,412,280,620,801,677,749,1081,1255,1163,1037,866,737,741,892,780,207,57,39,22,8,1,1,0,0,1,0
Verdal,Trippelaksler,2016-01-31,2016-02-29,20.173249258160237,21.880000000000003,0,3,2,1,1,0,3,1,3,20,9,7,9,29,19,18,23,24,31,30,46,68,91,142,64,15,9,4,2,0
Verdal,Enkeltaksler,2016-02-29,2016-03-31,5.571491852381082,5.9,241,3992,2696,2759,3515,5522,6304,6268,3297,1126,423,180,55,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verdal,Boggiaksler,2016-02-29,2016-03-31,11.677420736288505,11.77,61,362,174,124,379,264,571,964,835,782,1005,1530,1235,970,743,593,615,858,855,274,66,37,8,4,1,0,0,0,0,0
Verdal,Trippelaksler,2016-02-29,2016-03-31,19.95545138888889,21.595,0,0,0,0,0,0,1,2,8,21,15,12,13,18,23,16,12,22,16,27,46,52,79,100,68,16,2,3,0,0
